ID,Gender,Grade,Horoscope,Subject,IntExt,OptPest,ScreenTime,Sleep,PhysActive,HrsHomework,SpendTime1,,SpendTime2,Self1,Self2,Career,Superpower
162,male,5,Capricorn,Gym,Extravert,Optimist,5,3,5,1,origami,Sole,video games,free spirited,creative,computer scientist,mind reading
58,female,4,Pisces,Gym,Introvert,Optimist,1,10,3,0,outside,Active,video games,nice,nice,hockey player,lazer eyes
67,male,6,Capricorn,Gym,Extravert,Optimist,5,9,10,3,Outside,Active,Friends,Chill,Tall,Architect,Control Nature
152,female,5,Pisces,Math,Extravert,Optimist,2,10,6,2,pet project,Social,out side,unsure,smart,vet,fly 
62,Don't Identify,6,Libra,Art,Don't Know,Don't Know,4,12,3,6,Pets,Social,Video Games,Sarcastic,Sassy,Artist,Time and space control
20,female,8,Capricorn,Art,Extravert,Pessimist,3,8,10,5,phone,Multimedia,tv,smart,happy,doctor,teleportation
30,male,6,Gemini,Science,Extravert,Optimist,4,9,9,10,play,Social,tv,talk,awsome,teacher,
90,male,5,Scorpio,Science,Extravert,Optimist,3,10,10,6,Play,Social,Videogames,Active,Smart,Scientist,Teleportation
78,female,4,Leo,Gym,Don't Know,Optimist,1,9,8,4,play w/ friends,Social,read,funny,small,idk,invisible
97,male,5,Libra,Gym,Don't Know,Optimist,1,10,5,1,play with cat,Social,reading,athletic,social,,all powers
184,female,6,Aries,Gym,Extravert,Optimist,2,9,7,0,playing,Sport,playing with animals,hyper,flimsy,happy,super speed
113,male,7,Cancer,Gym,Don't Know,Optimist,5,9,10,6,playing hockey,Sport,playing video games,athletic,smart,Wealthy,
169,female,4,Virgo,Gym,Introvert,Pessimist,1,8,3,1,playing on computer,Gaming,playing with her birds,shy,quiet,interior designer,bend reality
2,female,4,Capricorn,Gym,Extravert,Optimist,1,8,5,0,playing outside,Active,swimming,kind,active,Teacher,power to grant wishes
112,male,7,Taurus,Gym,Don't Know,Pessimist,4,9,28,7,playing soccer,Sport,playing fortnite,athletic,smart,soccer,speed
110,female,7,Gemini,Math,Extravert,Optimist,2,8,4,7,playing sports,Sport,cooking,smart,active,doctor,teleport
178,male,6,Aries,Math,Extravert,Optimist,2,8,10,9,playing sports,Sport,playing with friends,sporty,smart,surgeon,super speed
